V1	V2	V3	Iv1	Time
1	0.00224495	0.00224495	-196.673	0.197113
1	0.00224495	0.00224495	-196.678	0.197118
1	0.00224495	0.00224495	-196.682	0.197122
1	0.00224495	0.00224495	-196.687	0.197127
1	0.00224495	0.00224495	-196.691	0.197131
1	0.00224495	0.00224495	-196.696	0.197136
1	0.00224495	0.00224495	-196.7	0.19714
1	0.00224495	0.00224495	-196.705	0.197145
1	0.00224495	0.00224495	-196.709	0.197149
1	0.00224495	0.00224495	-196.714	0.197154
1	0.00224495	0.00224495	-196.718	0.197158
1	0.00224495	0.00224495	-196.723	0.197163
1	0.00224495	0.00224495	-196.727	0.197167
1	0.00224495	0.00224495	-196.732	0.197172
1	0.00224495	0.00224495	-196.736	0.197176
1	0.00224495	0.00224495	-196.741	0.197181
1	0.00224495	0.00224495	-196.745	0.197185
1	0.00224495	0.00224495	-196.75	0.19719
1	0.00224495	0.00224495	-196.754	0.197194
1	0.00224495	0.00224495	-196.759	0.197199
1	0.00224495	0.00224495	-196.763	0.197203
1	0.00224495	0.00224495	-196.768	0.197208
1	0.00224495	0.00224495	-196.772	0.197212
1	0.00224495	0.00224495	-196.777	0.197217
1	0.00224495	0.00224495	-196.781	0.197221
1	0.00224495	0.00224495	-196.785	0.197226
1	0.00224495	0.00224495	-196.79	0.19723
1	0.00224495	0.00224495	-196.794	0.197235
1	0.00224495	0.00224495	-196.799	0.197239
1	0.00224495	0.00224495	-196.803	0.197244
1	0.00224495	0.00224495	-196.808	0.197248
1	0.00224495	0.00224495	-196.812	0.197253
1	0.00224495	0.00224495	-196.817	0.197257
1	0.00224495	0.00224495	-196.821	0.197262
1	0.00224495	0.00224495	-196.826	0.197266
1	0.00224495	0.00224495	-196.83	0.197271
1	0.00224495	0.00224495	-196.835	0.197275
1	0.00224495	0.00224495	-196.839	0.19728
1	0.00224495	0.00224495	-196.844	0.197284
1	0.00224495	0.00224495	-196.848	0.197289
1	0.00224495	0.00224495	-196.853	0.197293
1	0.00224495	0.00224495	-196.857	0.197298
1	0.00224495	0.00224495	-196.862	0.197302
1	0.00224495	0.00224495	-196.866	0.197307
1	0.00224495	0.00224495	-196.871	0.197311
1	0.00224495	0.00224495	-196.875	0.197316
1	0.00224495	0.00224495	-196.88	0.19732
1	0.00224495	0.00224495	-196.884	0.197325
1	0.00224495	0.00224495	-196.889	0.197329
1	0.00224495	0.00224495	-196.893	0.197334
1	0.00224495	0.00224495	-196.898	0.197338
1	0.00224495	0.00224495	-196.902	0.197343
1	0.00224495	0.00224495	-196.907	0.197347
1	0.00224495	0.00224495	-196.911	0.197352
1	0.00224495	0.00224495	-196.916	0.197356
1	0.00224495	0.00224495	-196.92	0.197361
1	0.00224495	0.00224495	-196.925	0.197365
1	0.00224495	0.00224495	-196.929	0.19737
1	0.00224495	0.00224495	-196.934	0.197374
1	0.00224495	0.00224495	-196.938	0.197379
1	0.00224495	0.00224495	-196.943	0.197383
1	0.00224495	0.00224495	-196.947	0.197388
1	0.00224495	0.00224495	-196.952	0.197392
1	0.00224495	0.00224495	-196.956	0.197397
1	0.00224495	0.00224495	-196.961	0.197401
1	0.00224495	0.00224495	-196.965	0.197406
1	0.00224495	0.00224495	-196.97	0.19741
1	0.00224495	0.00224495	-196.974	0.197415
1	0.00224495	0.00224495	-196.979	0.197419
1	0.00224495	0.00224495	-196.983	0.197424
1	0.00224495	0.00224495	-196.988	0.197428
1	0.00224495	0.00224495	-196.992	0.197433
1	0.00224495	0.00224495	-196.997	0.197437
1	0.00224495	0.00224495	-197.001	0.197442
1	0.00224495	0.00224495	-197.005	0.197446
1	0.00224495	0.00224495	-197.01	0.197451
1	0.00224495	0.00224495	-197.014	0.197455
1	0.00224495	0.00224495	-197.019	0.19746
1	0.00224495	0.00224495	-197.023	0.197464
1	0.00224495	0.00224495	-197.028	0.197469
1	0.00224495	0.00224495	-197.032	0.197473
1	0.00224495	0.00224495	-197.037	0.197478
1	0.00224495	0.00224495	-197.041	0.197482
1	0.00224495	0.00224495	-197.046	0.197487
1	0.00224495	0.00224495	-197.05	0.197491
1	0.00224495	0.00224495	-197.055	0.197496
1	0.00224495	0.00224495	-197.059	0.1975
1	0.00224495	0.00224495	-197.064	0.197505
1	0.00224495	0.00224495	-197.068	0.197509
1	0.00224495	0.00224495	-197.073	0.197514
1	0.00224495	0.00224495	-197.077	0.197518
1	0.00224495	0.00224495	-197.082	0.197523
1	0.00224495	0.00224495	-197.086	0.197527
1	0.00224495	0.00224495	-197.091	0.197532
1	0.00224495	0.00224495	-197.095	0.197536
1	0.00224495	0.00224495	-197.1	0.197541
1	0.00224495	0.00224495	-197.104	0.197545
1	0.00224495	0.00224495	-197.109	0.19755
1	0.00224495	0.00224495	-197.113	0.197554
1	0.00224495	0.00224495	-197.118	0.197559
1	0.00224495	0.00224495	-197.122	0.197563
1	0.00224495	0.00224495	-197.127	0.197568
1	0.00224495	0.00224495	-197.131	0.197572
1	0.00224495	0.00224495	-197.136	0.197577
1	0.00224495	0.00224495	-197.14	0.197581
1	0.00224495	0.00224495	-197.145	0.197586
1	0.00224495	0.00224495	-197.149	0.19759
1	0.00224495	0.00224495	-197.154	0.197595
1	0.00224495	0.00224495	-197.158	0.197599
1	0.00224495	0.00224495	-197.163	0.197604
1	0.00224495	0.00224495	-197.167	0.197608
