Time	Iv
0.000371	0.0297679
0.000372	0.0301305
0.000373	0.030494
0.000374	0.0308584
0.000375	0.0312237
0.000376	0.0315898
0.000377	0.0319568
0.000378	0.0323247
0.000379	0.0326934
0.00038	0.0330631
0.000381	0.0334336
0.000382	0.033805
0.000383	0.0341772
0.000384	0.0345504
0.000385	0.0349244
0.000386	0.0352992
0.000387	0.035675
0.000388	0.0360516
0.000389	0.0364291
0.00039	0.0368074
0.000391	0.0371866
0.000392	0.0375667
0.000393	0.0379477
0.000394	0.0383295
0.000395	0.0387122
0.000396	0.0390957
0.000397	0.0394801
0.000398	0.0398654
0.000399	0.0402515
0.0004	0.0406386
0.000401	0.0410264
0.000402	0.0414151
0.000403	0.0418047
0.000404	0.0421952
0.000405	0.0425865
0.000406	0.0429786
0.000407	0.0433717
0.000408	0.0437656
0.000409	0.0441603
0.00041	0.0445559
0.000411	0.0449523
0.000412	0.0453496
0.000413	0.0457478
0.000415	0.0457364
0.000416	0.0457249
0.000417	0.0457135
0.000418	0.0457021
0.000419	0.0456907
0.00042	0.0456792
0.000421	0.0456678
0.000422	0.0456564
0.000423	0.045645
0.000424	0.0456336
0.000425	0.0456222
0.000426	0.0456108
0.000427	0.0455994
0.000428	0.045588
0.000429	0.0455766
0.00043	0.0455652
0.000431	0.0455538
0.000432	0.0455424
0.000433	0.045531
0.000434	0.0455197
0.000435	0.0455083
0.000436	0.0454969
0.000437	0.0454855
0.000438	0.0454742
0.000439	0.0454628
0.00044	0.0454514
0.000441	0.0454401
0.000442	0.0454287
0.000443	0.0454174
0.000444	0.045406
0.000445	0.0453947
0.000446	0.0453833
0.000447	0.045372
0.000448	0.0453606
0.000449	0.0453493
0.00045	0.045338
0.000451	0.0453266
0.000452	0.0453153
0.000453	0.045304
0.000454	0.0452927
0.000455	0.0452813
0.000456	0.04527
0.000457	0.0452587
0.000458	0.0452474
0.000459	0.0452361
0.00046	0.0452248
0.000461	0.0452135
0.000462	0.0452022
0.000463	0.0451909
0.000464	0.0451796
0.000465	0.0451683
0.000467	0.0456204
0.000468	0.0460733
0.000469	0.0465271
0.00047	0.0469817
0.000471	0.0474372
0.000472	0.0478935
0.000473	0.0483506
0.000474	0.0488086
0.000475	0.0492674
0.000476	0.0497271
0.000477	0.0501875
0.000478	0.0506489
0.000479	0.051111
0.00048	0.051574
0.000481	0.0520378
0.000482	0.0525024
0.000483	0.0529679
0.000484	0.0534342
0.000485	0.0539013
0.000486	0.0543693
0.000487	0.0548381
0.000488	0.0553077
0.000489	0.0557781
0.00049	0.0562494
0.000491	0.0567215
0.000492	0.0571944
0.000493	0.0576682
0.000494	0.0581427
0.000495	0.0586181
0.000496	0.0590943
0.000497	0.0595714
0.000498	0.0600492
0.000499	0.0605279
0.0005	0.0610074
0.000501	0.0614877
0.000502	0.0619688
0.000503	0.0624507
0.000504	0.0629335
0.000505	0.0634171
